subfolder,users,decision,rationale
organizationalchanges,1,INCLUDED,Org changes — business
origination,2,INCLUDED,Deal origination correspondence
osha,1,INCLUDED,OSHA compliance operations
oslo,1,INCLUDED,Oslo operations — business
other,1,INCLUDED,Other business correspondence
ou,1,INCLUDED,OU operations — business
outages,1,INCLUDED,Pipeline/plant outage operations
outbox,6,SYSTEM,Unsent drafts queue — not delivered email
outlook_instructions,1,CONTENT-MISMATCH,Client instructions document — not email
outlook_migration,1,INCLUDED,Outlook migration project correspondence
oyster_creek,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
p_1_c_s_nov,1,INCLUDED,Compressor station operations
pac,1,INCLUDED,PAC — political action/public affairs
pacific_valour,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
pacific_virgo,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
palo_alto,1,INCLUDED,Palo Alto operations — business
pan_energy_swap,1,INCLUDED,Pan Energy swap transaction — business
panda,1,INCLUDED,Panda Energy counterparty — business
paris,1,INCLUDED,Paris operations — business
park__n_ride,1,PII/LEGAL,Personal commute records — PII
parking,2,INCLUDED,Corporate parking administration
pasadena,1,INCLUDED,Pasadena operations — business
passwords,2,PII/LEGAL,Credential storage — critical PII/security risk
patriotism,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
pats,1,PII/LEGAL,Named individual (nickname) — PII
payroll_electronic_directions,1,PII/LEGAL,Payroll/banking details — sensitive PII
pba_s,1,INCLUDED,PBAs — business
pca,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
pcb_modeling_study,1,PII/LEGAL,PCB environmental study — legally sensitive
pcb_s,1,INCLUDED,Environmental operations
pcc_values,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
pearce__barry,1,PII/LEGAL,Named individual folder — personal PII
pemex_trans_pecos,1,INCLUDED,Pemex Trans Pecos — business
pending,2,SYSTEM,Holding folder — likely incomplete emails
pennsylvania,2,INCLUDED,Pennsylvania operations correspondence
peoples_hedges,1,INCLUDED,Peoples hedges — business
perez__eugenio,1,PII/LEGAL,Named individual — PII
perfmgmt,1,INCLUDED,Performance management — business
perfomance_evaluation,1,PII/LEGAL,Performance evaluation — sensitive PII
performance,3,PII/LEGAL,Performance review records — sensitive PII
performance_management,2,INCLUDED,Performance management — business
performance_mgmt_,1,PII/LEGAL,Performance management — sensitive PII
performance_review,1,PII/LEGAL,Performance review — HR sensitive
performancematters,1,PII/LEGAL,Performance matters — sensitive PII
personal,39,PII/LEGAL,Self-labelled personal folder — explicit personal correspondence
personal_addresses,1,PII/LEGAL,Personal address book — PII
personal_contacts,1,PII/LEGAL,Personal address book — PII
personal_travel,1,PII/LEGAL,Personal travel itineraries — PII
personalfolder,1,PII/LEGAL,Self-labelled personal — explicit personal correspondence
personnal,1,PII/LEGAL,Personnel records (misspelled) — sensitive PII
personnel,3,PII/LEGAL,Personnel records — sensitive PII
personnel___advance_hire_assoc,1,PII/LEGAL,Personnel hiring records — sensitive PII
personnel___ava_s_duties,1,PII/LEGAL,Named individual duties — sensitive PII
personnel___paa,1,PII/LEGAL,Personnel records — sensitive PII
personnel___prc_2001_mid_yr,1,PII/LEGAL,PRC records — sensitive HR data
personnel___prc_2001_year_end,1,PII/LEGAL,PRC records — sensitive HR data
personnel___promotions,1,PII/LEGAL,Promotions records — sensitive PII
personnel___shift_differential,1,PII/LEGAL,Pay records — sensitive PII
personnel___working_from_home,1,PII/LEGAL,HR policy records — sensitive PII
personnel_issues,1,PII/LEGAL,Personnel issues — sensitive PII
pfg,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
pg_e_bankruptcy,1,PII/LEGAL,PG&E bankruptcy — litigation sensitive
pg_e_hydro_sale,1,INCLUDED,PG&E hydro sale — business transaction
pg_e_meetings_and_notes,1,INCLUDED,PG&E meetings — business
pg_e_pbr,1,INCLUDED,PG&E performance-based rate — regulatory
pg_e_pcbs,1,PII/LEGAL,PG&E PCB environmental litigation — legally sensitive
pge,1,INCLUDED,PGE counterparty — business
pge_sale,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
phffu,1,INCLUDED,PHFFU operations — business
philippines,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
phone_lists,1,CONTENT-MISMATCH,"Phone directory — not email, PII risk"
phone_numbers,1,CONTENT-MISMATCH,"Phone directory — not email, PII risk"
pictures,2,CONTENT-MISMATCH,Image attachments folder — not email text
pipeinfo,1,INCLUDED,Pipeline information
pipeline,1,INCLUDED,Pipeline operations correspondence
pipeline_info,1,INCLUDED,Pipeline information correspondence
pipeline_issues,1,INCLUDED,Pipeline issues — operations
pipeline_matters,1,INCLUDED,Pipeline matters — operations
pipelines,1,INCLUDED,Pipeline operations
piper__greg,1,PII/LEGAL,Named individual folder — personal PII
pjm,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
planning,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
play_group,1,INCLUDED,Business playgroup / team coordination
pnm,1,INCLUDED,PNM counterparty — business
poland,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
policies,1,INCLUDED,Corporate policies — business
policy,2,INCLUDED,Corporate policy correspondence
policy_manual_and_united_way,1,INCLUDED,Policy manual/United Way — business
policy_papers,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
portcalc_requests,1,INCLUDED,Portfolio calculation requests — business
portuguese,1,INCLUDED,Portuguese language business correspondence
position,1,INCLUDED,Trading position correspondence
position_papers,1,INCLUDED,Position papers — public affairs
post_bankruptcy,1,INCLUDED,Post-bankruptcy operations — business
power,1,INCLUDED,Power trading and operations
power_conf,1,INCLUDED,Power conference — business
power_e_mails,1,INCLUDED,Power emails — business
power_marketer,1,INCLUDED,Power marketer — business
power_projects,1,INCLUDED,Power projects — business
power_purchase_eei,1,INCLUDED,Power purchase EEI — business
powercontracts,1,INCLUDED,Power contracts — business
powereast,1,INCLUDED,Power East desk operations
powersystems,1,INCLUDED,Power systems — business
powerwest,1,INCLUDED,Power West desk operations
pr___notre_dame,1,INCLUDED,PR Notre Dame — business
pr_crisis_management,1,INCLUDED,PR crisis management — business
prc,10,INCLUDED,Performance Review Committee — business correspondence
prc_ass_mid00,1,PII/LEGAL,PRC assessment records — sensitive HR data
prepays_structured_deals,1,PII/LEGAL,Structured finance deals — Enron fraud context — legally sensitive
preschedule,1,INCLUDED,Pre-schedule operations
presentations,7,INCLUDED,Business presentations
press,2,INCLUDED,Press/media relations correspondence
press_releases,4,INCLUDED,Press releases — business
presto_files,1,SYSTEM,Application working files — not email
presto_working_files,1,SYSTEM,Application working files — not email
preston_vpp,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
price__brent,1,PII/LEGAL,Named individual folder — personal PII
price_risk_management_,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
print,1,CONTENT-MISMATCH,Print queue folder — not email
private_folders,9,PII/LEGAL,Self-labelled private folder — explicit personal/sensitive content
procaribe,1,INCLUDED,ProCaribe — business
producer_services,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
project_50,1,INCLUDED,Project 50 — business project
project_california,1,INCLUDED,Project California — business
project_dolphin,1,INCLUDED,Project Dolphin — business
project_grandslam,1,INCLUDED,Project Grand Slam — business
project_jose,1,INCLUDED,Project Jose — business
project_orange,1,INCLUDED,Project Orange — business
project_sato,1,INCLUDED,Project Sato — business
project_springbok,1,INCLUDED,Project Springbok — business
project_stanley,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
project_summer,1,INCLUDED,Project Summer — business
projects,2,INCLUDED,Business projects correspondence
promotions,1,PII/LEGAL,Promotions records — sensitive PII
pros,1,INCLUDED,PROS system — business
prudency,1,PII/LEGAL,Regulatory prudency proceeding — litigation sensitive
psco,1,INCLUDED,PSCO counterparty — business
pseg,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
public_water_systems,1,INCLUDED,Water systems environmental operations
publications,2,INCLUDED,Business publications correspondence
puckett_plant,1,INCLUDED,Puckett plant operations
puerto_rico,1,INCLUDED,Puerto Rico operations — business
puhca,1,INCLUDED,PUHCA regulatory — business
pulp,1,INCLUDED,Pulp trading — business
pulp_paper_lumber,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
purchasing,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
px,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
qf_s___risk_analysis,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
qse,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
questar,1,INCLUDED,Questar counterparty — business
quotes,1,CONTENT-MISMATCH,Price quote data — not email text
r,1,INCLUDED,R project folder — business
rac,3,INCLUDED,Risk and compliance correspondence
radack,1,PII/LEGAL,Named legal matter — litigation sensitive
rail,2,INCLUDED,Rail trading/operations correspondence
rainy_day,1,INCLUDED,Rainy day fund/reserve — business
rc_0946,1,INCLUDED,Rate case operations
read,1,SYSTEM,Lotus Notes 'read' view marker — system artefact
real_time,1,INCLUDED,Real-time operations correspondence
recruiting,3,PII/LEGAL,Recruiting correspondence — sensitive PII
recuriting,1,PII/LEGAL,Recruiting (misspelled) — sensitive PII
red_rock,1,INCLUDED,Red Rock operations — business
redeployment,1,INCLUDED,Staff redeployment — business
redrock_mainline_expansion,1,INCLUDED,Redrock pipeline expansion — business
reeves__leslie,1,PII/LEGAL,Named individual folder — personal PII
refund_cases,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
reg_risk,1,INCLUDED,Regulatory risk — business
regulatory,2,INCLUDED,Regulatory affairs correspondence
reliant_energy,1,INCLUDED,Reliant Energy counterparty — business
renewable_power,1,INCLUDED,Renewable power — business
renewables,1,INCLUDED,Renewables energy business
reports,1,INCLUDED,Business reports
reports___scheduled_quantity_report,1,INCLUDED,Scheduled quantity reports — operations
republican_leadership,1,INCLUDED,Republican leadership — public affairs
requisite,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
resco,2,INCLUDED,RESCO counterparty correspondence
research,2,INCLUDED,Business research correspondence
resource_committment_req_s,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
resource_management,1,INCLUDED,Resource management — business
restricted_list,3,PII/LEGAL,Securities restricted trading list — regulatory sensitive
resume,2,PII/LEGAL,CVs — sensitive PII
resumes,4,PII/LEGAL,Third-party CVs — sensitive PII (third-party)
resumes_for_recruiting,1,PII/LEGAL,Recruiting CVs — sensitive third-party PII
retail,1,INCLUDED,Retail operations — business
retail_markets,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
retail_operations,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
reuters,1,INCLUDED,Reuters market data — business
rice,2,INCLUDED,Rice University/counterparty correspondence
richardson_s,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
ring_trades,1,PII/LEGAL,Ring trades — regulatory/legally sensitive
risk,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
risk_analytics,2,INCLUDED,Risk analytics business correspondence
risk_management,1,INCLUDED,Risk management — business
riskmemos,1,INCLUDED,Risk memos — business
riskratings,1,INCLUDED,Risk ratings — business
rm_science_review,1,INCLUDED,RM science review — business
rm_work_order,1,INCLUDED,RM work order — business
rmt,1,INCLUDED,RMT operations — business
rocky_mountain_elk_foundation,1,INCLUDED,Corporate community/charity correspondence
roseman_creek,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
roseville,1,INCLUDED,Roseville operations — business
rotation,1,PII/LEGAL,Staff rotation records — sensitive PII
rotation_1,1,PII/LEGAL,Staff rotation records — sensitive PII
rt_cuts,1,INCLUDED,Real-time cuts — operations
rt_strat,1,INCLUDED,Real-time strategy — operations
rto,2,INCLUDED,RTO policy correspondence
rto_campaign,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
rto_filings__order_2000,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
s_a__trading,1,INCLUDED,South America trading — business
s_america,1,INCLUDED,South America operations
sager___general,1,PII/LEGAL,Named individual folder — personal PII
sample_forms,1,CONTENT-MISMATCH,Form templates — not email
san_diego_gas___electric,1,INCLUDED,SDG&E counterparty — business
san_juan_expansion,1,INCLUDED,San Juan expansion — business
sandy,1,PII/LEGAL,Named individual — personal PII
sap,6,INCLUDED,SAP enterprise system — business
sarah_joy_hunter,1,PII/LEGAL,Named individual folder — personal PII
saudi_arabia_project,1,INCLUDED,Saudi Arabia project — business
save_the_date,1,INCLUDED,Event coordination — business
saved,1,SYSTEM,Generic saved folder — duplicates
saved_01,1,SYSTEM,Numbered archive dump — duplicates
saved_02,1,SYSTEM,Numbered archive dump — duplicates
saved_03,1,SYSTEM,Numbered archive dump — duplicates
saved_04,1,SYSTEM,Numbered archive dump — duplicates
saved_11,1,SYSTEM,Numbered archive dump — duplicates
saved_12,1,SYSTEM,Numbered archive dump — duplicates
saved_mail,2,SYSTEM,"Generic saved-mail dump — non-specific, likely duplicates"
savedmail,1,SYSTEM,Saved mail artefact — duplicates
sce_deal,1,INCLUDED,SCE deal — business
schedule_c,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
schedule_crawler,1,INCLUDED,Schedule crawler — operations
scheduling,3,INCLUDED,Operational scheduling correspondence
scribner__james,1,PII/LEGAL,Named individual — PII
sec,2,PII/LEGAL,SEC regulatory correspondence — litigation sensitive
sec_panel,1,INCLUDED,SEC panel — regulatory
security,1,INCLUDED,Corporate security — business
security___collateral,1,INCLUDED,Security/collateral — business
security_request,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
sempra,3,INCLUDED,Sempra counterparty — business
sempre,1,INCLUDED,Sempre counterparty — business
senate_testimony_re_california,1,INCLUDED,Senate testimony — public affairs
senator_dunn_inv_,1,PII/LEGAL,Senate investigation — litigation sensitive
sent,89,INCLUDED,Sent mail variant — standard business email
sent_items,136,INCLUDED,Primary sent mail — standard business email
services,2,INCLUDED,Business services
settlements,2,INCLUDED,Trading settlements operations
settlements_issues,1,INCLUDED,Settlements issues — business
shankman__jeff,1,PII/LEGAL,Named individual folder — personal PII
shipper_list,1,INCLUDED,Pipeline shipper list — business
shopping,1,PII/LEGAL,Personal commerce — PII
show_cause,1,PII/LEGAL,Regulatory show-cause proceeding — litigation sensitive
showstopper_rpt,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
singapore_trading,1,INCLUDED,Singapore trading — business
sitara,1,INCLUDED,Sitara trading system — business
sites,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
sithe,1,INCLUDED,Sithe counterparty — business
skew,1,INCLUDED,Options skew analysis — trading
smith_barney,1,INCLUDED,Smith Barney counterparty — business
smud,1,INCLUDED,SMUD counterparty — business
smud_e_mails,1,INCLUDED,SMUD emails — business
smurfit,1,INCLUDED,Smurfit counterparty — business
so2___nox,1,INCLUDED,SO2/NOx emissions trading — business
socal_gas,1,INCLUDED,SoCal Gas counterparty — business
socal_pcb_s,1,INCLUDED,Environmental operations
socalgas,1,INCLUDED,SoCal Gas — business
software,1,INCLUDED,Software operations — business
solmonson__mary,1,PII/LEGAL,Named individual folder — personal PII
sonoco,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
sony,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
south_america,2,INCLUDED,South American operations
southamerica,2,INCLUDED,South American operations
southeast,2,INCLUDED,Southeast US operations
southern_cone,3,INCLUDED,South American operations correspondence
southern_cone_financial_masters,1,INCLUDED,Southern Cone financial operations
southern_lng,1,INCLUDED,Southern LNG — business
southwest_environmental_team,1,INCLUDED,Environmental team operations
southwest_gas_pcb_s,1,INCLUDED,Environmental operations
sparefinders_com,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
speaking_engagements,1,INCLUDED,Speaking engagements — business
special,1,INCLUDED,Special correspondence — business
speeches,2,INCLUDED,Speech drafts — public business communication
spp,1,INCLUDED,SPP market — business
srp,1,INCLUDED,SRP counterparty — business
stack__shari,1,PII/LEGAL,Named individual folder — personal PII
staff_meeting,1,INCLUDED,Staff meeting — business
staff_meetings,1,INCLUDED,Staff meetings — business
stagecoach,1,INCLUDED,Stagecoach operations — business
stanford,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
stanley,1,PII/LEGAL,Named individual (first name) — personal PII
star_wars,1,INCLUDED,Star Wars project codename — business
stationery,1,SYSTEM,Email stationery template folder — not email
steel,2,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
stf,1,INCLUDED,STF operations — business
stock_options,1,PII/LEGAL,Personal financial records — sensitive PII
storage,2,INCLUDED,Gas storage operations correspondence
storage___alloc_process,1,INCLUDED,Storage allocation process — operations
storage___third_party_storage_info,1,INCLUDED,Third-party storage — operations
stored_messages,1,SYSTEM,Stored messages archive — likely duplicates
strategic_model,1,INCLUDED,Strategic model — business
straw,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
structured_supply,1,INCLUDED,Structured supply — business
stuff,1,INCLUDED,General business correspondence
sun_devil_expansion,1,INCLUDED,Sun Devil expansion — business
sundevil_pipeline_project,1,INCLUDED,Sundvil pipeline project
supply_chain,1,INCLUDED,Supply chain — business
survey,1,PII/LEGAL,HR survey data — sensitive PII
surveys,1,PII/LEGAL,HR surveys — sensitive PII
swap,1,INCLUDED,Swap trading — business
swap_group,1,INCLUDED,Swap group operations — business
swap_group_project_lists,1,INCLUDED,Swap group — business
symesees,1,INCLUDED,Symes EES — business
synfuel,1,INCLUDED,Synfuel operations — business
synfuel_tax_crredits,1,INCLUDED,Synfuel tax credits — business
system_wip,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
systems,3,INCLUDED,IT/systems business correspondence
systems_problems,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
takeover,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
tasks,35,CONTENT-MISMATCH,Task list entries — not email
tax,1,PII/LEGAL,Tax records — sensitive PII
tax_issues,1,PII/LEGAL,Tax records — sensitive PII
taxes,1,PII/LEGAL,Personal tax records — sensitive PII
tcpl,1,INCLUDED,TCPL pipeline — business
technical,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
technologyplan,1,INCLUDED,Technology plan — business
teco,2,INCLUDED,TECO Energy counterparty
telecom,1,INCLUDED,Telecommunications business
temporary_export_certificates,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
tenaska,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
tep,1,INCLUDED,TEP counterparty — business
term_proposals,1,INCLUDED,Term proposals — business
test,1,SYSTEM,Test folder — not production email
texas,3,INCLUDED,Texas operations correspondence
texas_b_school,1,INCLUDED,Texas business school — institutional
thank_yous,1,INCLUDED,Thank-you correspondence — business
tie_meter_multipliers,1,INCLUDED,Tie meter — operations
timbelden,1,INCLUDED,Tim Belden — business correspondence
time_off,1,PII/LEGAL,Personal time-off records — PII
to_do,34,CONTENT-MISMATCH,To-do list — not email
to_do_list,1,CONTENT-MISMATCH,To-do list — not email
tom_s_docs,1,PII/LEGAL,Named individual folder — personal PII
top_10_issues_6_1_01,1,INCLUDED,Top 10 issues — business
top_shippers,1,INCLUDED,Top shippers — business
toptenrisks,1,INCLUDED,Top-ten risks — business
tq,1,INCLUDED,TQ trading — business
tracy,1,PII/LEGAL,Named individual — personal PII
trade_issues,1,INCLUDED,Trade issues — business
tradecounts,1,INCLUDED,Trade counts — business
trader_guidelines,1,INCLUDED,Trader guidelines — business
traderr_tools,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
trading,1,INCLUDED,Trading operations correspondence
trading_info,1,INCLUDED,Trading information — business
trading_issues,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
trading_quotes,1,CONTENT-MISMATCH,Trading price data — not email text
training,3,PII/LEGAL,Training records — HR sensitive
training___2001,1,PII/LEGAL,Training records — HR sensitive
training___business_objects,1,PII/LEGAL,Training records — HR sensitive
training__gov_t__affairs,1,PII/LEGAL,Training records — HR sensitive
transamonia,1,INCLUDED,Trans Amonia — business
transco,1,INCLUDED,Transco pipeline — business
transition_guide,1,INCLUDED,Transition guide — business
transmission,1,INCLUDED,Transmission operations correspondence
transport,5,INCLUDED,Pipeline transport business correspondence
transportation,1,INCLUDED,Transportation operations — business
transportation_market,1,INCLUDED,Transportation market — business
transredes,1,INCLUDED,Transredes operations — business
transwestern,1,INCLUDED,Transwestern pipeline — business
travel,4,PII/LEGAL,Mixed personal/business travel — PII risk
tropical_storm_allison,1,INCLUDED,Tropical storm Allison — business contingency
trs,1,INCLUDED,TRS trading — business
tss,1,INCLUDED,TSS operations — business
tufco,1,INCLUDED,Tufco counterparty — business
turkey,1,INCLUDED,Turkey operations — business
tva,4,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
tw,3,INCLUDED,Transwestern pipeline operations
tw___citizens_agreement,1,INCLUDED,TW-Citizens agreement — business
tw___imbalances___netting_trading,1,INCLUDED,TW imbalances trading
tw___invoicing,1,INCLUDED,TW invoicing — business
tw___marketing,1,INCLUDED,TW marketing — business
tw___negotiated_rates_issues,1,INCLUDED,TW rate issues — regulatory
tw___nwpl_budget,1,INCLUDED,TW NWPL budget — business
tw___procedures,1,INCLUDED,TW procedures — business
tw___socal_window_procedure,1,INCLUDED,TW SoCal procedure — business
tw___transactional_requirements,1,INCLUDED,TW transactional requirements — business
tw_accounts,1,INCLUDED,TW accounts — business
tw_cas,1,INCLUDED,TW CAS — operations
tw_commercial_group,1,INCLUDED,TW commercial group operations
tw_fuel_sales,1,INCLUDED,TW fuel sales — business
tw_hedges,1,INCLUDED,TW hedging operations
tw_imbalances,1,INCLUDED,TW imbalances — operations
tw_lft,1,INCLUDED,TW LFT operations
tw_options_sales_program,1,INCLUDED,TW options sales — business
tw_outages,1,INCLUDED,TW outage management
tw_projects,1,INCLUDED,TW projects — operations
tw_rate_matrix,1,INCLUDED,TW rate matrix — regulatory
tw_throughput_analysis,1,INCLUDED,TW throughput analysis
tw_weekly_report,1,INCLUDED,TW weekly reports — business
ubs_warburg,1,INCLUDED,UBS Warburg — counterparty
ubsw_energy,1,INCLUDED,UBS Warburg Energy — counterparty correspondence
ubswenergy_com,1,INCLUDED,UBS Warburg Energy — counterparty
uh,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
ui,1,INCLUDED,UI operations — business
uk_trading,1,INCLUDED,UK trading — business
unfinaled_invoices,1,PII/LEGAL,Invoice records — financially sensitive
uniform_business_rules,1,INCLUDED,Uniform business rules — regulatory
unify,3,INCLUDED,Unify system business correspondence
unions,1,INCLUDED,Unions — business/HR policy
universal_studios,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
universities,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
university_relations,1,INCLUDED,University relations — business
unocal,1,INCLUDED,Unocal counterparty — business
unread_mail,1,SYSTEM,Lotus Notes unread-mail view — duplicates inbox
untitled,1,SYSTEM,Untitled folder — unknown provenance
untitledmartin,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
updates,1,INCLUDED,Business updates
us_sup_ct_case,1,INCLUDED,US Supreme Court case — public policy
usgt,1,INCLUDED,USGT operations — business
ut,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
ut_mba,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
vacation,2,PII/LEGAL,Personal vacation records — PII
vacations,1,PII/LEGAL,Personal vacation records — PII
vacations_2001,1,PII/LEGAL,Personal vacation records — PII
val,1,INCLUDED,Valuation — business
value,1,INCLUDED,Value analysis — business
vanderbilt,1,INCLUDED,Vanderbilt — institutional/business
var,6,INCLUDED,VAR risk analysis — business
vargas_becton_lamb,1,PII/LEGAL,Named individuals — PII
vargas_becton_lamb_galvan,1,PII/LEGAL,Named individuals — PII
vector,1,INCLUDED,Vector pipeline — business
venezuela_colombia,1,INCLUDED,Venezuela/Colombia operations
vepco,1,INCLUDED,VEPCO counterparty — business
vinson___elkins,1,INCLUDED,Vinson & Elkins legal counsel — business
virus_alerts,1,INCLUDED,IT security alerts — business
vision,1,INCLUDED,Vision/values — business
vision___values,1,INCLUDED,Vision and values — business
vision_and_values,1,INCLUDED,Vision and values — business
visions___values,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
vitro,1,INCLUDED,Vitro counterparty — business
vng,2,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
volatility,1,INCLUDED,Volatility analysis — trading
volume_management,1,INCLUDED,Volume management operations
vp_prc,1,PII/LEGAL,VP-level PRC records — sensitive HR data
vpp,1,INCLUDED,VPP (virtual power plant) trading
vulcan_signs,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
waha,1,INCLUDED,Waha hub trading
washington_office,1,INCLUDED,Washington office — public affairs
water,1,INCLUDED,Water business operations
weather,4,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
webmodal,1,INCLUDED,Webmodal — business
weekly_activity_report,1,INCLUDED,Weekly activity reports
weekly_report,1,INCLUDED,Weekly operational report
weekly_reports___2001,1,INCLUDED,Weekly reports — business
wellhead,1,INCLUDED,Wellhead pricing correspondence
west,2,INCLUDED,West operations
west_bank,1,INCLUDED,West Bank operations — business
west_gas_origination,1,INCLUDED,West gas origination — business
west_var,1,INCLUDED,West VAR — trading
west_virginia,1,INCLUDED,West Virginia — operations
western_governor_s_university,1,INCLUDED,WGU — institutional relations
western_governors,1,INCLUDED,Western governors — public affairs
westgas,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
westinghouse,1,INCLUDED,Westinghouse counterparty — business
whatever,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
white__stacey,1,PII/LEGAL,Named individual folder — personal PII
wholesale_markets,1,INCLUDED,Wholesale markets — business
wholesale_policy_reform,1,INCLUDED,Wholesale policy reform — regulatory
wilson__shona,1,PII/LEGAL,Named individual folder — personal PII
wire_signer_list,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
wk,1,INCLUDED,Work correspondence — business
wordsmith,1,INCLUDED,Wordsmith communications — business
working_groups,1,INCLUDED,Working groups — business
world_bank,1,INCLUDED,World Bank — institutional relations
wptf,1,INCLUDED,Western Power Trading Forum
wto,1,INCLUDED,WTO — trade policy
y2k,2,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
yazoo_city,1,INCLUDED,Yazoo City operations — business
yoder,1,PII/LEGAL,Named individual folder — personal PII
young__randy,1,PII/LEGAL,Named individual folder — personal PII
